"ordering","paper","publication_date","city","state","region","trade_type","market_label","sampling_date","market_sector","capturing_sector","species_id","genus","family","order","superorder","elasmobranchii_or_teleostei","dna_technique","dna_analysis","gene","iucn_redlist_(paper_status)","iucn_redlist_(updated_status)","redbook_status_(445/2014)","redbook_status_(148/2022)","cites_listed_species","mislabel(in53)","endemic_species","ps"
"A0001","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","VU","DD","NA","no","no","no","NA"
"A0002","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","VU","DD","NA","no","no","no","NA"
"A0003","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Carcharhinus brachyurus","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","VU","DD","NA","no","no","no","NA"
"A0004","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","VU","NT","NA","Appendix II","no","no","NA"
"A0005","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Carcharhinus falciformis","Carcharhinus","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","VU","NT","NA","Appendix II","no","no","NA"
"A0006","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Galeorhinus galeus","Galeorhinus","Triakidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","CR","CR","NA","no","no","no","NA"
"A0007","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Genidens barbus","Genidens","Aridae","Siluriformes","NA","Teleostei","DNA sequencing","phylogenetics","COI","NE","NE","NE","NE","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0008","Almeron-Souza et al. 2018","2018","Arroio do Sal","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Gymnura altavela","Gymnura","Gymnuridae","Myliobatiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","EN","CR","CR","no","no","no","NA"
"A0009","Almeron-Souza et al. 2018","2018","Laguna","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Gymnura altavela","Gymnura","Gymnuridae","Myliobatiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","VU","EN","CR","CR","no","no","no","NA"
"A0010","Almeron-Souza et al. 2018","2018","Laguna","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Myliobatis goodei","Myliobatis","Myliobatidae","Myliobatiformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","VU","CR","CR","no","no","no","NA"
"A0011","Almeron-Souza et al. 2018","2018","Torres","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Narcine brasiliensis","Narcine","Narcinidae","Torpediniformes","Batoidea","Elasmobranchii","DNA sequencing","phylogenetics","COI","DD","NT","VU","VU","no","no","Warm Temperate Southwestern Atlantic (Spalding 2007)","NA"
"A0012","Almeron-Souza et al. 2018","2018","Itajaí","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0013","Almeron-Souza et al. 2018","2018","Imbituba","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0014","Almeron-Souza et al. 2018","2018","Imbituba","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0015","Almeron-Souza et al. 2018","2018","Imbituba","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0016","Almeron-Souza et al. 2018","2018","Imbituba","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0017","Almeron-Souza et al. 2018","2018","Florianópolis","Santa Catarina","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0018","Almeron-Souza et al. 2018","2018","Tramandaí","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0019","Almeron-Souza et al. 2018","2018","Tramandaí","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0020","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0021","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0022","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
"A0023","Almeron-Souza et al. 2018","2018","Porto Alegre","Rio Grande do Sul","South","shark","shark/angel steak","2008-2013/2016","fish market","NA","Prionace glauca","Prionace","Carcharhinidae","Carcharhiniformes","Selachii","Elasmobranchii","DNA sequencing","phylogenetics","COI","NT","NT","NT","NA","no","no","no","NA"
