species,genus,family,order,classification,geo_distribution,genbank_total,marker_coi,marker_cytb,marker_12s,marker_16s,marker_nadh2,marker_its2,marker_mitogenome,marker_bold_coi,geo_distribution_obs
Aetobatus narinari,Aetobatus,Myliobatidae,Myliobatiformes,ray,wide-range,151,59,61,1,,2,28,,67,"Sul dos EUA, América Latina, Africa"
Alopias superciliosus,Alopias,Alopiidae,Lamniformes,shark,wide-range,194,121,4,6,6,56,1,1,130,cosmopolita
Atlantoraja castelnaui,Atlantoraja,Arhynchobatidae,Rajiformes,ray,endemic,63,57,3,1,1,1,,1,64,Endemic
Atlantoraja cyclophora,Atlantoraja,Arhynchobatidae,Rajiformes,ray,endemic,9,8,,,,1,,,27,Endemic
Bathytoshia centroura,Bathytoshia,Dasyatidae,Myliobatiformes,ray,endemic,24,17,2,2,2,1,,1,15,Endemic
Benthobatis kreffti,Benthobatis,Narcinidae,Torpediniformes,ray,endemic,4,4,,,,,,,4,Endemic
Carcharhinus acronotus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,78,59,3,7,7,1,1,1,59,"Sul dos EUA, América Latina"
Carcharhinus altimus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,43,40,,1,1,1,,,57,cosmopolita
Carcharhinus brachyurus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,28,22,2,1,1,1,1,1,27,todos os continentes mas nao chega a ser cosmopolita
Carcharhinus brevipinna,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,156,142,3,4,3,1,3,1,153,todos os continentes mas nao chega a ser cosmopolita
Carcharhinus falciformis,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,677,406,4,6,5,253,3,1,352,cosmopolita
Carcharhinus galapagensis,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,86,23,,,,63,,,23,todos os continentes mas nao chega a ser cosmopolita
Carcharhinus leucas,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,142,112,17,5,5,1,2,2,108,cosmopolita
Carcharhinus limbatus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,122,106,3,6,4,1,2,,136,cosmopolita
Carcharhinus obscurus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,131,45,3,3,2,76,2,1,92,cosmopolita
Carcharhinus perezi,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,38,22,1,6,6,3,,1,46,"Sul dos EUA, América Latina"
Carcharhinus plumbeus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,95,77,3,6,5,2,2,1,128,todos os continentes mas nao chega a ser cosmopolita
Carcharhinus porosus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,136,106,6,11,11,2,,,115,"Sul dos EUA, América Latina"
Carcharhinus signatus,Carcharhinus,Carcharhinidae,Carcharhiniformes,shark,wide-range,17,14,,1,1,1,,,18,"Sul dos EUA, América Latina, Africa"
Carcharias taurus,Carcharias,Odontaspididae,Lamniformes,shark,wide-range,112,90,7,5,5,2,3,4,111,todos os continentes mas nao chega a ser cosmopolita
Carcharodon carcharias,Carcharodon,Alopiidae,Lamniformes,shark,wide-range,411,19,129,129,129,2,3,131,159,cosmopolita
Centrophorus squamosus,Centrophorus,Centrophoridae,Squaliformes,shark,wide-range,69,43,,3,18,5,,,53,todos os continentes mas nao chega a ser cosmopolita
Dasyatis hypostigma,Dasyatis,Dasyatidae,Myliobatiformes,ray,endemic,19,19,,,,,,,15,Endemic
Fontitrygon geijskesi,Fontitrygon,Dasyatidae,Myliobatiformes,ray,endemic,4,4,,,,,,,,Endemic
Galeocerdo cuvier,Galeocerdo,Carcharhinidae,Carcharhiniformes,shark,wide-range,304,265,21,5,6,4,3,4,272,cosmopolita
Galeorhinus galeus,Galeorhinus,Triakidae,Carcharhiniformes,shark,wide-range,37,32,1,1,2,1,,,36,todos os continentes mas nao chega a ser cosmopolita
Ginglymostoma cirratum,Ginglymostoma,Ginglymostomatidae,Orectolobiformes,shark,wide-range,10,2,2,2,2,1,1,1,12,"Sul dos EUA, América Latina, Africa"
Gymnura altavela,Gymnura,Gymnuridae,Myliobatiformes,ray,wide-range,43,32,4,2,2,1,2,,72,"Sul dos EUA, América Latina, Africa, Europa"
Gymnura micrura,Gymnura,Gymnuridae,Myliobatiformes,ray,Latin America,24,22,1,,,1,,,16,América Latina
Hypanus americanus,Hypanus,Dasyatidae,Myliobatiformes,ray,wide-range,110,72,9,9,10,9,1,9,60,"Sul dos EUA, México, Venezuela "
