species,year,iucn_global
Aetobatus narinari,2019,NT
Aetobatus narinari,2020,NT
Aetobatus narinari,2021,NT
Aetobatus narinari,2023,EN
Alopias superciliosus,2019,VU
Alopias superciliosus,2023,VU
Atlantoraja castelnaui,2019,EN
Atlantoraja castelnaui,2021,CR
Atlantoraja castelnaui,2023,CR
Atlantoraja cyclophora,2021,EN
Atlantoraja cyclophora,2023,EN
Bathytoshia centroura,2019,LC
Bathytoshia centroura,2023,VU
Benthobatis kreffti,2023,VU
Carcharhinus acronotus,2018,NT
Carcharhinus acronotus,2019,NT
Carcharhinus acronotus,2020,NT
Carcharhinus acronotus,2021,NT
Carcharhinus acronotus,2023,EN
Carcharhinus brachyurus,2013,NT
Carcharhinus brachyurus,2018,NT
Carcharhinus brachyurus,2019,NT
Carcharhinus brachyurus,2023,VU
Carcharhinus brevipinna,2019,NT
Carcharhinus brevipinna,2021,VU
Carcharhinus brevipinna,2023,VU
Carcharhinus falciformis,2013,NT
Carcharhinus falciformis,2018,NT
Carcharhinus falciformis,2019,VU
Carcharhinus falciformis,2020,VU
Carcharhinus falciformis,2021,VU
Carcharhinus falciformis,2023,VU
Carcharhinus leucas,2018,NT
Carcharhinus leucas,2019,NT
Carcharhinus leucas,2020,NT
Carcharhinus leucas,2021,NT
Carcharhinus leucas,2023,VU
Carcharhinus limbatus,2018,NT
Carcharhinus limbatus,2019,NT
Carcharhinus limbatus,2021,NT
Carcharhinus limbatus,2023,VU
Carcharhinus obscurus,2019,VU
Carcharhinus obscurus,2023,EN
Carcharhinus perezi,2019,NT
Carcharhinus perezi,2023,EN
Carcharhinus plumbeus,2013,VU
Carcharhinus plumbeus,2017,VU
Carcharhinus plumbeus,2021,VU
Carcharhinus plumbeus,2023,EN
Carcharhinus porosus,2018,DD
Carcharhinus porosus,2019,DD
Carcharhinus porosus,2020,DD
Carcharhinus porosus,2021,CR
Carcharhinus porosus,2023,CR
Carcharhinus signatus,2019,VU
Carcharhinus signatus,2021,VU
Carcharhinus signatus,2023,EN
Carcharias taurus,2019,VU
Carcharias taurus,2023,CR
Carcharodon carcharias,2023,VU
Centrophorus squamosus,2019,VU
Centrophorus squamosus,2023,EN
Dasyatis hypostigma,2015,DD
Dasyatis hypostigma,2021,EN
Dasyatis hypostigma,2023,EN
Fontitrygon geijskesi,2020,NT
Fontitrygon geijskesi,2021,CR
Fontitrygon geijskesi,2023,CR
Galeocerdo cuvier,2018,NT
Galeocerdo cuvier,2019,NT
Galeocerdo cuvier,2020,NT
Galeocerdo cuvier,2021,NT
Galeocerdo cuvier,2023,NT
Galeorhinus galeus,2018,VU
Galeorhinus galeus,2023,CR
Ginglymostoma cirratum,2018,DD
